City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,mount gambier,-37.8333,140.7667,284.18,95,79,2.98,AU,1698613485
193,crane,31.3974,-102.3501,277.69,82,100,8.94,US,1698613531
194,revda,56.801,59.9303,269.71,95,100,4.97,RU,1698613511
195,emerald,-23.5333,148.1667,291.67,67,99,4.46,AU,1698613601
196,aars,56.804,9.5144,282.47,95,100,4.28,DK,1698613602
197,luanda,-8.8368,13.2343,299.15,83,75,4.12,AO,1698613603
198,hungerford,51.4151,-1.5156,283.63,92,17,7.0,GB,1698613604
199,puerto deseado,-47.7503,-65.8938,279.82,69,62,11.12,AR,1698613605
200,santo antonio do ica,-3.1022,-67.9397,304.62,55,99,0.87,BR,1698613605
201,kerikeri,-35.2268,173.9474,290.88,96,100,2.24,NZ,1698613606
202,progreso,21.2833,-89.6667,305.21,68,6,6.5,MX,1698613556
203,aripuana,-9.1667,-60.6333,309.56,26,95,1.34,BR,1698613409
204,yung shue wan,22.2333,114.1167,298.53,82,96,6.48,HK,1698613608
205,maumere,-8.6199,122.2111,298.68,78,72,0.28,ID,1698613609
206,naze,28.3667,129.4833,291.66,73,16,2.7,JP,1698613556
207,juan griego,11.0817,-63.9655,302.2,80,94,6.94,VE,1698613440
208,kourou,5.1552,-52.6478,303.18,80,91,5.71,GF,1698613612
209,khovd,48.0056,91.6419,273.42,65,23,0.49,MN,1698613613
210,otofuke,42.9917,143.2003,281.25,92,88,1.13,JP,1698613613
211,ciudad lazaro cardenas,17.9583,-102.2,302.65,71,34,4.61,MX,1698613364
212,turkmenbasy,40.0222,52.9552,290.3,95,50,3.29,TM,1698613615
213,kenai,60.5544,-151.2583,279.2,76,100,8.23,US,1698613506
214,vyyezdnoye,55.3815,43.7864,273.05,92,100,5.81,RU,1698613617
215,pontes e lacerda,-15.2261,-59.3353,308.03,35,96,5.09,BR,1698613380
216,tsiombe,-25.3,45.4833,295.71,82,0,2.01,MG,1698613570
217,tazovsky,67.4667,78.7,257.16,94,13,1.28,RU,1698613388
218,cill airne,52.05,-9.5167,281.6,91,91,1.45,IE,1698613620
219,antsiranana,-12.2787,49.2917,297.99,78,19,7.29,MG,1698613499
220,old town,50.087,14.4202,285.63,84,0,2.57,CZ,1698613621
221,ostersund,63.1792,14.6357,270.71,100,100,2.06,SE,1698613622
222,haiku-pauwela,20.9219,-156.3051,301.16,63,20,9.26,US,1698613623
223,kudymkar,59.0173,54.656,269.59,94,100,4.38,RU,1698613624
224,ngozi,-2.9075,29.8306,287.66,92,75,1.24,BI,1698613625
225,kaa-khem,51.6833,94.7333,269.49,45,100,0.83,RU,1698613626
226,cachoeira do sul,-30.0392,-52.8939,298.81,78,9,1.23,BR,1698613472
227,quepos,9.4236,-84.1652,300.46,79,71,1.6,CR,1698613627
228,watampone,-4.5386,120.3279,298.55,82,65,1.61,ID,1698613628
229,nadi,-17.8,177.4167,301.15,65,20,2.06,FJ,1698613405
230,namdrik,5.5994,168.1028,301.45,76,58,5.34,MH,1698613630
231,darnah,32.767,22.6367,295.12,78,91,3.86,LY,1698613631
232,rio cauto,20.5603,-76.9161,302.31,70,83,4.53,CU,1698613576
233,arrifes,37.7667,-25.7,287.29,82,20,4.12,PT,1698613632
234,hithadhoo,-0.6,73.0833,300.12,82,99,6.92,MV,1698613633
235,tchintabaraden,15.8969,5.7985,303.07,10,2,1.91,NE,1698613634
236,hamilton,39.1834,-84.5333,287.44,94,100,1.54,US,1698613512
237,buctzotz,21.2,-88.7833,305.14,41,16,5.55,MX,1698613636
238,gavle,60.6745,17.1417,273.1,96,25,0.66,SE,1698613637
239,hermanus,-34.4187,19.2345,286.72,64,0,11.54,ZA,1698613638
240,humaita,-7.5061,-63.0208,311.27,26,78,1.29,BR,1698613638
241,axim,4.8699,-2.2405,299.39,84,2,2.26,GH,1698613639
242,urumqi,43.801,87.6005,284.68,38,0,3.0,CN,1698613640
243,fort-shevchenko,44.5086,50.263,287.4,69,82,3.97,KZ,1698613641
244,jaltenco,19.7506,-99.0956,299.05,21,4,3.32,MX,1698613642
245,svetlyy,54.675,20.1347,282.24,83,100,7.11,RU,1698613644
246,kapa'a,22.0752,-159.319,300.98,66,8,1.34,US,1698613302
247,khanty-mansiysk,61.0042,69.0019,262.21,67,0,4.02,RU,1698613646
248,bengkulu,-3.8004,102.2655,295.78,91,100,0.74,ID,1698613647
249,mumford,5.2618,-0.759,299.78,86,3,2.79,GH,1698613648
250,poronaysk,49.2167,143.1167,273.45,70,48,1.0,RU,1698613649
251,usogorsk,63.4106,48.6872,269.63,83,100,2.69,RU,1698613518
252,sisimiut,66.9395,-53.6735,269.55,72,100,5.11,GL,1698613651
